X,M,TE,TE_CI_low,TE_CI_high,NIE,NIE_CI_low,NIE_CI_high,NDE,NDE_CI_low,NDE_CI_high,Prop_Mediated,indirect_p,N,Bootstrap_N,indirect_p_fdr,significant_fdr
Origin Layer,CD34,0.2739538262211852,0.0,0.9625549090141465,0.01598186496367349,-0.12575713179086034,0.14320398214874216,0.2579719612575117,0.0,0.9547738219292201,0.058337805257627724,1.0,433,1369,1.0,False
Origin Layer,CD117,0.0880446837584225,-0.026460864104847968,0.665218182444097,0.009764194351521278,-0.21956691381196222,0.22773735405678538,0.07828048940690122,-0.027197234773724016,0.6301506804789202,0.1109004420790735,1.0,433,1428,1.0,False
Origin Layer,PDGFR-α,0.37161042870035044,-0.028003192082131242,0.9070220838150007,-4.319733636058502e-05,-0.052148533597935545,0.050057009910805424,0.371653626036711,-0.01120215730472811,0.9089965770799647,-0.00011624360627246381,1.0,433,1325,1.0,False
Origin Layer,Dog-1,0.33268611012240695,-0.006379225480294112,0.9271289224031163,-0.052805417999607425,-0.22534595210589625,0.013789574753730795,0.3854915281220144,0.0,0.9894855350955526,-0.1587244444325567,0.6937958639092728,433,1499,1.0,False
Origin Layer,S-100,0.38701824559818415,-0.017657693593566365,0.8972244033459327,-0.003099805691181055,-0.03821273017536503,0.031784925341574594,0.3901180512893651,-0.005137626890969055,0.9098744519685951,-0.008009456211528026,1.0,433,1026,1.0,False
Origin Layer,SMA,0.33884127203704195,-0.026579042046593376,0.9204346817444435,-0.005788312565816947,-0.10047349113384009,0.0968503713425231,0.3446295846028589,0.0,0.9329975522082283,-0.017082666851705633,1.0,433,1555,1.0,False
Origin Layer,KI_67,0.34630938677044787,0.0,0.9340867135935255,-0.0477864053209396,-0.4621652639314439,0.24908293610152737,0.39409579209138745,0.0,1.1149599242531996,-0.13798761207883445,1.0,433,1502,1.0,False
Echo Uniformity,CD34,-0.4229661430081899,-0.7682061988406417,0.0,-0.07015615925482602,-0.21403377389667735,0.15378196800179225,-0.35280998375336386,-0.6516392950043334,0.0,0.16586708041420606,0.47534766118836913,433,791,1.0,False
Echo Uniformity,CD117,-0.4503943771777434,-0.8988281728974211,0.0,-0.1725430949995792,-0.43434491517235974,0.0,-0.2778512821781642,-0.6115138036166883,0.0,0.3830933593815424,0.5846153846153846,433,650,1.0,False
Echo Uniformity,PDGFR-α,-0.40707564298206783,-0.6553507469436626,-0.15580632355797205,-0.000882797004513686,-0.027941615146495923,0.01973218225184942,-0.4061928459775542,-0.6555183031468179,-0.15671277781639706,0.0021686313581590886,0.9619619619619619,433,1998,1.0,False
Echo Uniformity,Dog-1,-0.40977877988960504,-0.6416679018263176,-0.18189390401893962,0.009400512052781789,-0.018737330014550888,0.041509160141102557,-0.41917929194238673,-0.6525138727850254,-0.1891696721655351,-0.02294045595849131,0.43887775551102204,433,1996,1.0,False
Echo Uniformity,S-100,-0.4099654425424327,-0.6696311096134382,-0.15805558443783535,1.5461417527606986e-06,-0.014629138307583254,0.014881202969678214,-0.4099669886841855,-0.6708064491471393,-0.1591346151139361,-3.7713953234013573e-06,0.9864932466233116,433,1999,1.0,False
Echo Uniformity,SMA,-0.4118463859070858,-0.656025230319585,-0.17297607702016576,-0.03250795155908949,-0.08043675818137408,0.0036233410758230527,-0.3793384343479963,-0.6214736577301029,-0.140814035961002,0.07893222490587405,0.085,433,2000,0.935,False
Echo Uniformity,KI_67,-0.44861420485136944,-0.7076987471076701,-0.1748378506160499,-0.08366805494158924,-0.20803331718064622,0.03024419930427817,-0.3649461499097802,-0.5969956149117687,-0.14042023469294077,0.18650335641803706,0.167,433,2000,1.0,False
Boundary Clarity,CD34,-0.33042261763275954,-0.7263020274732934,0.0,-0.009598974230559864,-0.1886825591499129,0.11576889809137506,-0.3208236434021997,-0.7060073892315752,0.0,0.029050596776121478,1.0,433,1375,1.0,False
Boundary Clarity,CD117,-0.4624417372704796,-0.9524572929623337,0.0,-0.17842219689857175,-0.4702066521895041,0.0,-0.28401954037190785,-0.6316585921156759,0.0,0.3858263269048607,0.47106325706594887,433,743,1.0,False
Boundary Clarity,PDGFR-α,-0.3789208843556716,-0.6636227139191697,-0.0991939914106061,-0.016014220515295816,-0.06721157013787471,0.017339712782145286,-0.36290666384037584,-0.6571167164895756,-0.0818633565356734,0.0422627022591454,0.3923923923923924,433,1998,1.0,False
Boundary Clarity,Dog-1,-0.3833427498112904,-0.6662293147980091,-0.10130066732545108,-0.007158540505003955,-0.051272372055085835,0.024402521344803283,-0.37618420930628643,-0.6574187907977193,-0.08847766784761428,0.018673994769766528,0.694,433,2000,1.0,False
Boundary Clarity,S-100,-0.3786975401976589,-0.664326942088325,-0.07944368995003563,-0.0008111328689316919,-0.02351509664670412,0.016774682696356485,-0.3778864073287272,-0.6642516254911206,-0.08075582250215112,0.002141901604399981,0.9816887080366226,433,1966,1.0,False
Boundary Clarity,SMA,-0.3802957161685643,-0.667847221613339,-0.08310865055325538,-0.0013429071208585475,-0.04898790280311667,0.05228708585915704,-0.37895280904770573,-0.6604568646278138,-0.09074417695762667,0.0035312181120213046,0.918,433,2000,1.0,False
Boundary Clarity,KI_67,-0.39147568710269764,-0.7596303938741865,-0.035303568864201045,-0.0814018812263399,-0.2634630823155763,0.08849582393990303,-0.31007380587635774,-0.5974418377103309,0.02210021718356837,0.20793598148787557,0.36218109054527264,433,1999,1.0,False
MaximumTumorSize,CD34,0.6629304122159873,0.0,1.0860168817036884,-0.007856904855201302,-0.048340700920747326,0.03529779369599251,0.6707873170711885,0.0,1.091652485139195,-0.01185177917684891,0.9258123850398529,433,1631,1.0,False
MaximumTumorSize,CD117,0.5520438123989405,0.0,0.9991431434168209,0.05194085134239179,0.0,0.22037579603684088,0.5001029610565487,0.0,0.9194508054478269,0.094088277371826,0.7566462167689162,433,1467,1.0,False
MaximumTumorSize,PDGFR-α,1.0037653123557921,0.8952384476425853,1.1125704716106988,-0.007169351744247601,-0.018513974216153573,0.0003499760689316122,1.0109346641000398,0.9022575865038615,1.1222353388567499,-0.00714245815829345,0.0701051577366049,433,1997,0.935,False
MaximumTumorSize,Dog-1,0.9966659179403087,0.8928075118070741,1.1038445709422584,-0.003615448291498486,-0.01661669956854416,0.00470397439317434,1.000281366231807,0.8959862632323387,1.105745942912824,-0.0036275428169251587,0.431,433,2000,1.0,False
MaximumTumorSize,S-100,0.9972123449077731,0.8833170882827925,1.1066400564581231,-0.0003321890724938237,-0.008406615353154429,0.006949738845927656,0.9975445339802668,0.8836949064674692,1.1066895845639908,-0.0003331176897178766,0.858,433,2000,1.0,False
MaximumTumorSize,SMA,0.9985975707635978,0.8924159741993387,1.098338146004997,0.009547392771474164,-0.00493561381752659,0.032651253399168925,0.9890501779921235,0.8818642317196957,1.089046592433056,0.009560801118486156,0.218,433,2000,1.0,False
MaximumTumorSize,KI_67,1.0366364840717548,0.9183021583973149,1.1657734438678127,0.13578334003396064,0.06567028496975659,0.229038568663374,0.9008531440377943,0.7910712747200955,1.010893792797393,0.13098452747931827,0.0,433,2000,0.0,True
Location,CD34,-0.096563012287103,-0.30908663845622186,0.07973059063318785,-0.00912527898070057,-0.08722947232011219,0.09589211921599834,-0.08743773330640242,-0.2925950628653499,0.060295086558177904,0.09450076964841482,1.0,433,1664,1.0,False
Location,CD117,-0.047987583449827675,-0.2812526887103748,0.1330115739899819,-0.02267797656780888,-0.15432948618787076,0.0772657676033913,-0.025309606882018793,-0.18548267530788465,0.10897269838835122,0.47258009129631046,0.9410150891632373,433,1458,1.0,False
