X,M,TE,TE_CI_low,TE_CI_high,NIE,NIE_CI_low,NIE_CI_high,NDE,NDE_CI_low,NDE_CI_high,Prop_Mediated,indirect_p,N,Bootstrap_N,indirect_p_fdr,significant_fdr
Origin Layer,CD34,0.2739538262211852,0.0,0.9625549090141465,0.01598186496367349,-0.12575713179086034,0.14320398214874216,0.2579719612575117,0.0,0.9547738219292201,0.058337805257627724,1.0,433,1369,1.0,False
Origin Layer,CD117,0.0880446837584225,-0.026460864104847968,0.665218182444097,0.009764194351521278,-0.21956691381196222,0.22773735405678538,0.07828048940690122,-0.027197234773724016,0.6301506804789202,0.1109004420790735,1.0,433,1428,1.0,False
Origin Layer,PDGFR-α,0.37161042870035044,-0.028003192082131242,0.9070220838150007,-4.319733636058502e-05,-0.052148533597935545,0.050057009910805424,0.371653626036711,-0.01120215730472811,0.9089965770799647,-0.00011624360627246381,1.0,433,1325,1.0,False
Origin Layer,Dog-1,0.33268611012240695,-0.006379225480294112,0.9271289224031163,-0.052805417999607425,-0.22534595210589625,0.013789574753730795,0.3854915281220144,0.0,0.9894855350955526,-0.1587244444325567,0.6937958639092728,433,1499,1.0,False
Origin Layer,S-100,0.38701824559818415,-0.017657693593566365,0.8972244033459327,-0.003099805691181055,-0.03821273017536503,0.031784925341574594,0.3901180512893651,-0.005137626890969055,0.9098744519685951,-0.008009456211528026,1.0,433,1026,1.0,False
Origin Layer,SMA,0.33884127203704195,-0.026579042046593376,0.9204346817444435,-0.005788312565816947,-0.10047349113384009,0.0968503713425231,0.3446295846028589,0.0,0.9329975522082283,-0.017082666851705633,1.0,433,1555,1.0,False
Origin Layer,KI_67,0.34630938677044787,0.0,0.9340867135935255,-0.0477864053209396,-0.4621652639314439,0.24908293610152737,0.39409579209138745,0.0,1.1149599242531996,-0.13798761207883445,1.0,433,1502,1.0,False
Echo Uniformity,CD34,0.40898524661336433,0.0,0.7665048296357605,0.08124581424447179,-0.09238275270936447,0.300479187828953,0.3277394323688925,0.0,0.6629004271353418,0.19865218835455406,0.5282051282051282,433,780,1.0,False
Echo Uniformity,CD117,0.4515731705409038,0.0,0.8835218940522124,0.2278757196163029,0.0,0.629652435131378,0.2236974509246009,0.0,0.49205950370763907,0.5046263473610458,0.5770491803278689,433,610,1.0,False
Echo Uniformity,PDGFR-α,0.4072833549810467,0.15638199988222862,0.6554261040785295,-6.714178229247158e-05,-0.01681382089981953,0.01966710255874523,0.4073504967633392,0.15719419006321964,0.6554695286950089,-0.0001648527529331418,0.9694541812719079,433,1997,1.0,False
Echo Uniformity,Dog-1,0.40971036776208836,0.18088281005290416,0.6413107003432711,-0.0074941752382813465,-0.0352274728155422,0.014357615699648165,0.41720454300036963,0.18796652436606376,0.648934442266393,-0.018291397601715276,0.478,433,2000,1.0,False
Echo Uniformity,S-100,0.41000867488147835,0.15795268500254775,0.6696449578915133,-0.00019810007678561274,-0.016273820243866154,0.01570249959031487,0.41020677495826396,0.15843261051372368,0.6752577733600289,-0.0004831606961557039,0.9669669669669669,433,1998,1.0,False
Echo Uniformity,SMA,0.4118463859070858,0.17297607702016637,0.6560252303195849,0.02729269585314429,-0.0038835730224239416,0.07638803516819782,0.3845536900539415,0.14580571333824321,0.6297746517803704,0.06626911583315832,0.101,433,2000,0.972125,False
Echo Uniformity,KI_67,0.44861420485136944,0.17483785061604934,0.7076987471076697,0.09055611465555254,-0.03367947478263869,0.22988599364594672,0.3580580901958169,0.135507781517356,0.5837961492980771,0.20185743936832032,0.167,433,2000,1.0,False
Boundary Clarity,CD34,0.3388182451900799,0.0,0.7317887027744463,0.0030271135903505815,-0.1065593041937298,0.15047860176608327,0.3357911315997293,0.0,0.7215556754307576,0.008934328753908588,1.0,433,1470,1.0,False
Boundary Clarity,CD117,0.44045766222452365,0.0,0.917639980143855,0.2440884188647272,0.0,0.5856768927485271,0.1963692433597964,0.0,0.48180437258590625,0.5541699913493682,0.5056433408577878,433,886,1.0,False
Boundary Clarity,PDGFR-α,0.3783034426248152,0.09854972843328302,0.6636113908645703,-0.003253039899566716,-0.05645127026408745,0.038401267730466135,0.3815564825243819,0.09630795859639059,0.6861300736201587,-0.008599022723652395,0.9244622311155578,433,1999,1.0,False
Boundary Clarity,Dog-1,0.38315614374884793,0.10053125715278091,0.6662322387505945,0.002869119147959943,-0.025776700446643253,0.032826259480845256,0.38028702460088804,0.09470893540323312,0.6623307488138335,0.00748811990821319,0.8024012006003002,433,1999,1.0,False
Boundary Clarity,S-100,0.3781422748802587,0.07833485285144563,0.6646329025645192,0.002521573536863259,-0.01765826986875746,0.03208417593513552,0.3756207013433954,0.07991153578936988,0.6600981632198124,0.006668319583314858,0.9472626820693119,433,1991,1.0,False
Boundary Clarity,SMA,0.3806357726529684,0.08457718658056489,0.6693025115240605,0.000677634250099054,-0.04429105741277003,0.041794681354857706,0.37995813840286935,0.09387021684286301,0.6662449791713448,0.0017802694827552736,0.928,433,2000,1.0,False
Boundary Clarity,KI_67,0.391475687102359,0.035303568864200094,0.7596303938741864,0.08683497857273884,-0.07685831434315364,0.2882278994089582,0.3046407085296203,-0.012746238728650158,0.582528808779788,0.2218144866555509,0.36218109054527264,433,1999,1.0,False
MaximumTumorSize,CD34,0.6629304122159873,0.0,1.0860168817036884,-0.007856904855201302,-0.048340700920747326,0.03529779369599251,0.6707873170711885,0.0,1.091652485139195,-0.01185177917684891,0.9258123850398529,433,1631,1.0,False
MaximumTumorSize,CD117,0.5520438123989405,0.0,0.9991431434168209,0.05194085134239179,0.0,0.22037579603684088,0.5001029610565487,0.0,0.9194508054478269,0.094088277371826,0.7566462167689162,433,1467,1.0,False
MaximumTumorSize,PDGFR-α,1.0037653123557921,0.8952384476425853,1.1125704716106988,-0.007169351744247601,-0.018513974216153573,0.0003499760689316122,1.0109346641000398,0.9022575865038615,1.1222353388567499,-0.00714245815829345,0.0701051577366049,433,1997,0.972125,False
MaximumTumorSize,Dog-1,0.9966659179403087,0.8928075118070741,1.1038445709422584,-0.003615448291498486,-0.01661669956854416,0.00470397439317434,1.000281366231807,0.8959862632323387,1.105745942912824,-0.0036275428169251587,0.431,433,2000,1.0,False
MaximumTumorSize,S-100,0.9972123449077731,0.8833170882827925,1.1066400564581231,-0.0003321890724938237,-0.008406615353154429,0.006949738845927656,0.9975445339802668,0.8836949064674692,1.1066895845639908,-0.0003331176897178766,0.858,433,2000,1.0,False
MaximumTumorSize,SMA,0.9985975707635978,0.8924159741993387,1.098338146004997,0.009547392771474164,-0.00493561381752659,0.032651253399168925,0.9890501779921235,0.8818642317196957,1.089046592433056,0.009560801118486156,0.218,433,2000,1.0,False
MaximumTumorSize,KI_67,1.0366364840717548,0.9183021583973149,1.1657734438678127,0.13578334003396064,0.06567028496975659,0.229038568663374,0.9008531440377943,0.7910712747200955,1.010893792797393,0.13098452747931827,0.0,433,2000,0.0,True
Location,CD34,0.09883002465287997,-0.07813730411080681,0.32034601501374915,0.0031784243115360543,-0.15711340191709489,0.07898642131484537,0.09565160034134394,-0.05559812480841711,0.31428861674692393,0.03216051319120492,0.9927797833935018,433,1662,1.0,False
Location,CD117,0.047576607832645904,-0.12481689117297223,0.26624466541081393,0.03479820678235609,-0.1084952573332672,0.21422982771750876,0.012778401050289821,-0.1248862725996482,0.1612587623894851,0.7314142047445091,0.9423347398030942,433,1422,1.0,False
